ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-74.1465,-26.4699,1,2016036,0,0,0,0,0
-74.1465,-26.4699,1,2016037,0,0,0,0,0
-74.1465,-26.4699,1,2016038,0,0,0,0,0
-74.1332,-26.6572,1,2016039,0,0,0,0,0
-74.1194,-26.7574,1,2016040,0,0,0,0,0
-74.1194,-26.7574,1,2016041,0,0,0,0,0
-74.1103,-26.9057,1,2016042,0,0,0,0,0
-74.1103,-26.9057,1,2016043,0,0,0,0,0
-74.1506,-27.1067,1,2016044,0,0,0,0,0
-74.0951,-27.1682,1,2016045,0,0,0,0,0
-74.0951,-27.1682,1,2016046,0,0,0,0,0
-74.141,-27.4206,1,2016047,0,0,0,0,0
-74.141,-27.4206,1,2016048,0,0,0,0,0
-74.144,-27.6322,1,2016049,0,0,0,0,0
-74.144,-27.6322,1,2016050,0,0,0,0,0
-74.161,-27.9115,1,2016051,0,0,0,0,0
-74.161,-27.9115,1,2016052,0,0,0,0,0
-74.2183,-27.9106,1,2016053,0,0,0,0,0
-74.2183,-27.9106,1,2016054,0,0,0,0,0
-74.2183,-27.9106,0,2016055,0,0,0,0,0
-74.2183,-27.9106,1,2016056,0,0,0,0,0
-74.2183,-27.9106,1,2016057,0,0,0,0,0
-74.2183,-27.9106,1,2016058,0,0,0,0,0
-74.2183,-27.9106,1,2016059,0,0,0,0,0
-74.2183,-27.9106,1,2016060,0,0,0,0,0
-74.1453,-28.0083,1,2016061,0,0,0,0,0
-74.1453,-28.0083,1,2016062,0,0,0,0,0
-74.1314,-28.2681,1,2016063,0,0,0,0,0
-74.0752,-28.4119,1,2016064,0,0,0,0,0
-74.0966,-28.5816,1,2016065,0,0,0,0,0
-74.0401,-28.7963,1,2016066,0,0,0,0,0
-74.0401,-28.7963,1,2016067,0,0,0,0,0
-74.0785,-29.0889,1,2016068,0,0,0,0,0
-74.0977,-29.3365,1,2016069,0,0,0,0,0
-74.0977,-29.3365,1,2016070,0,0,0,0,0
-74.08,-29.5975,1,2016071,0,0,0,0,0
-74.08,-29.5975,1,2016072,0,0,0,0,0
-74.0574,-29.9618,1,2016073,0,0,0,0,0
-74.0574,-29.9618,1,2016074,0,0,0,0,0
-74.0257,-30.1607,1,2016075,0,0,0,0,0
-74.0257,-30.1607,1,2016076,0,0,0,0,0
-74.0257,-30.1607,1,2016077,0,0,0,0,0
-73.9957,-30.3473,1,2016078,0,0,0,0,0
-74.0058,-30.5055,1,2016079,0,0,0,0,0
-73.9886,-30.679,1,2016080,0,0,0,0,0
-73.9464,-30.7176,1,2016081,0,0,0,0,0
-73.9464,-30.7176,1,2016082,0,0,0,0,0
-73.9464,-30.7176,1,2016083,0,0,0,0,0
-73.9464,-30.7176,1,2016084,0,0,0,0,0
-73.911,-30.9321,1,2016085,0,0,0,0,0
-73.911,-30.9321,1,2016086,0,0,0,0,0
-73.8677,-31.0482,1,2016087,0,0,0,0,0
-73.8677,-31.0482,1,2016088,0,0,0,0,0
-73.9404,-31.2626,1,2016089,0,0,0,0,0
